feature,intended_use,n_valid,pct_valid,clustering
Age_Menarche,descriptive,1525,95.1,False
Irregular_Periods,descriptive,1601,99.9,False
Menopause_Status,descriptive,1602,99.9,False
Age_Menopause,descriptive,62,3.9,False
Reproductive_Span,descriptive,58,3.6,False
Ever_Pregnant,stratification,1601,99.9,False
Gravidity,descriptive,1114,69.5,False
Parity,descriptive,1135,70.8,False
Pregnancy_Loss,descriptive,1100,68.6,False
Nulliparous,descriptive,1601,99.9,False
Has_GDM,descriptive,1148,71.6,False
Has_Macrosomia,descriptive,1061,66.2,False
APO_Score,descriptive,1061,66.2,False
Has_Hysterectomy,descriptive,1584,98.8,False
Has_Oophorectomy,descriptive,1580,98.6,False
Surgical_Menopause,descriptive,1585,98.9,False
Age_Oophorectomy,descriptive,15,0.9,False
Ever_HRT,descriptive,1597,99.6,False
HRT_Type,descriptive,66,4.1,False
HbA1c,clustering,1522,94.9,True
BMI,clustering,1596,99.6,True
Waist,clustering,1552,96.8,True
Mean_SBP,clustering,1451,90.5,True
Mean_DBP,clustering,1451,90.5,True
eGFR,clustering,1499,93.5,True
HDL,clustering,1503,93.8,True
Glucose,clustering,1497,93.4,True
Triglycerides,stage2,742,46.3,False
LDL,stage2,744,46.4,False
WTSAFPRP,weight,805,50.2,False
On_Metformin,confounder,1603,100.0,False
On_Statin,confounder,1603,100.0,False
On_Antihypertensive,confounder,1603,100.0,False
On_Insulin,confounder,1603,100.0,False
On_Hormonal_Contraception,confounder,1603,100.0,False
Any_Prescription,confounder,1603,100.0,False
